id	created_at	text
714751783856431105	2016-03-29 09:51:19	Here is the latest picture of the hijacker of #EgyptAir    https://t.co/KGBoERchQN
714751780098277376	2016-03-29 09:51:18	"Top story: EGYPTAIR on Twitter: ""Our flight MS181 is officially hijacked. we'll… https://t.co/mkpoJdsNJi, see more https://t.co/gzNN03oBjr"
714751779087495168	2016-03-29 09:51:18	BREAKING: Seven people remain on EgyptAir plane : Egyptian minister - https://t.co/Xz1RNPmoJE https://t.co/KJ24RnzyZb
714751778731008000	2016-03-29 09:51:18	@nbstv how hard is it to report accurately? https://t.co/Uzdj9Ql8Fe
714751773752365056	2016-03-29 09:51:16	#EgyptAirGet your relationship back to hijack a plane 😂😂 https://t.co/pRlj6FIt4b
714751770061316097	2016-03-29 09:51:16	#EgyptAir still a better love story than twilight.
714751769864179713	2016-03-29 09:51:16	Egypt Plane Hijack: EgyptAir hijacker is university professor of veterinary medicine https://t.co/jNMMCZgtm8
714751767406362624	2016-03-29 09:51:15	#EgyptAir #Hijacked now many wives are gonging to ask this question... https://t.co/OzHACrzuQH
714751764214505472	2016-03-29 09:51:14	#EgyptAir @BBCBreaking  not a terrorist incident, so glad the people still on that plane are not terrified terrorised or suffering terror
714751761316192257	2016-03-29 09:51:14	Only 3 passengers left and 4 crew #EgyptAir
714751760401870850	2016-03-29 09:51:13	Be calm #EgyptAir
714751759810428928	2016-03-29 09:51:13	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian... https://t.co/sqCUKoUau9 via @CNN
714751759160320000	2016-03-29 09:51:13	EgyptAir flight MS181 hijacked, diverted to Cyprus https://t.co/qbtKBsC2JM
714751758946447360	2016-03-29 09:51:13	All the EgyptAir hostages are free and the hijacker is the only one in the plane  https://t.co/tFIyFJQ9Ic https://t.co/cdMPiiKcHE
714751756979318785	2016-03-29 09:51:12	#EgyptAir still waiting for them to blame this incident on @realDonaldTrump 🇺🇸😆 #trump2016 https://t.co/pwZrBNYZtP
714751756308246528	2016-03-29 09:51:12	People joking about #EgyptAir situation I'm sure it wasn't funny for those on board. Nor is it funny how easy it was for him to 'hijack'
714751749437923329	2016-03-29 09:51:11	Roses are redViolets are blueI've hijacked a plane✈To be with youThe world has officially gone mad.Love is love :) #EgyptAir
714751749228261376	2016-03-29 09:51:11	Hijacked #EgyptAir flight stands at #larnacaAirport airport in #Cyprus #Larnaca   #EgyptAirHijack https://t.co/goMV8LGgwR
714751747491762176	2016-03-29 09:51:10	We're getting new details on the hijacked plane situation: https://t.co/3Mz1k7nD5O
714751747290501120	2016-03-29 09:51:10	Please next time hijack a gondola in Venice for your future-ex-wife #egyptair #EgyptAirHijack
714751745738608640	2016-03-29 09:51:10	While most definitions of terrorism say there needs to be a political element, if this guy wants asylum, that's political. #EgyptAir
714751743356178432	2016-03-29 09:51:09	Love is in the AIR. RIP common sense 😒😒.. Prayers are with all the passengers who are suffering cuz of this coward act #EgyptAir
714751738486587392	2016-03-29 09:51:08	[TheTrent] EgyptAir Flight 181: Passenger Wearing Suicide Bomb Hijacks Plane To Cairo [UPDATES] https://t.co/vXeW72WaaR
714751737152843778	2016-03-29 09:51:08	"Joey Barton brands EgyptAir hijacker a ""k**bhead, whatever his reasoning"" in Twitter… https://t.co/tGjqLwbAci #mirror"
714751736263680000	2016-03-29 09:51:08	"#egyptair hijacker to crew: ""Oh man, if this doesn't show her what a good husband I am I think we can all say romance is officially dead."""
714751733017231360	2016-03-29 09:51:07	EgyptAir hijack 'not terrorist incident' - https://t.co/yu8LD6czcX https://t.co/IeOidks5dK
714751732186750976	2016-03-29 09:51:07	EgyptAir plane hijacked to Cyprus, most passengers freed https://t.co/FOyKMDj1DF
714751732098723841	2016-03-29 09:51:07	EgyptAir hijacking ‘not terrorism-related’: Cyprus president https://t.co/2HFzF0FkPl https://t.co/1E4jfO5hxt
714751730785853441	2016-03-29 09:51:06	There were times when hijacking the planewas crime not Romance. Good Old Days. #EgyptAir
714751730492313600	2016-03-29 09:51:06	Middle East News Now! By @nassramethod EgyptAir hijack: Most passengers freed a… https://t.co/ZQbUxbt4GR, see more https://t.co/DSqSDNlPvC
714751730492313600	2016-03-29 09:51:06	Middle East News Now! By @nassramethod EgyptAir hijack: Most passengers freed a… https://t.co/ZQbUxbt4GR, see more https://t.co/DSqSDNlPvC
714751728588099584	2016-03-29 09:51:06	#YourNewsTweet -  LIVE UPDATES: Hijacker is Egyptian, official says https://t.co/YqYHw067xO
714751727585595393	2016-03-29 09:51:05	Its' scary to bring humor to #terror attacks, men please stop making the world all about u! Seriously 😒 #EgyptAir #Drama
714751727464026112	2016-03-29 09:51:05	Biggest Facepalm for Terrorists #EgyptAir https://t.co/6nbmIE8zEj
714751725924708353	2016-03-29 09:51:05	EgyptAir plane hijacked, flown to Cyprus after passenger claims to have bomb belt | Fox News https://t.co/zvD1UTTCmN
714751725240991745	2016-03-29 09:51:05	All EgyptAir hijack hostages released except crew and four 'foreigners' https://t.co/6A2l5TYg73
714751725102612480	2016-03-29 09:51:05	Love is in the #Egyptair, everywhere I book a flight
714751718886666240	2016-03-29 09:51:03	there is that moron who said the hijacker is a muslim brotherhood member, hold my tea mug while I laugh at you #EgyptAir
714751716797841408	2016-03-29 09:51:03	BREAKING NEWS: HIJACKED EGYPT PLANE FLOWN TO CYPRUS, FOUR FOREIGNERS HELD ON BOARD https://t.co/o58aWhgyE6
714751715967442948	2016-03-29 09:51:03	Roses r redViolets r blueI hijacked a planeTo be with uNow, they're asking to pay for fuelMy love where r u?#EgyptAir #EgyptAirHijack
714751714080006144	2016-03-29 09:51:02	Civil Aviation Ministry spokesman Ihab Raslan tells media they doubt the hijacker has any explosives. #EgyptAir
714751709407539201	2016-03-29 09:51:01	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian... https://t.co/vd3WlO7qJN via @CNN
714751709084561408	2016-03-29 09:51:01	Passengers very casually walking away from hijacked #EgyptAir with hand luggage.
714751707062865920	2016-03-29 09:51:01	Its not Ibrahim Samaha, Hijacker is Seif El Din Mustafa, just to deliver a letter to ex-wife #EgyptAir https://t.co/ElEyZC7mtY
714751704718249984	2016-03-29 09:51:00	Man, I can't wait to read the content of that letter #EgyptAir
714751704554713090	2016-03-29 09:51:00	Correction: #EgyptAir flight MS181 . Non terror related. hijacker demands to see his estranged wife 7 people  remain onboard
714751702029758464	2016-03-29 09:50:59	EgyptAir plane hijacked to Cyprus, all passengers freed https://t.co/j9Od4sY8jx https://t.co/MBnBl4FAhl
714751701933285377	2016-03-29 09:50:59	Priceless morons in media identified the wrong Ibrahim Samaha &amp; then realized  Hijacker isn't Ibrahim #EgyptAir Hijack
714751699299221504	2016-03-29 09:50:59	The Female Is Life Top story: EgyptAir hijack: Most passengers freed at Larnaca… https://t.co/GzYS3QTxmZ, see more https://t.co/okkbYquRL7
714751695423668224	2016-03-29 09:50:58	X-Wife! This will never be an excuse to threaten passengers' lives. He &amp; his so called ex-wife might be real threat. Just curious #EgyptAir
714751693842432000	2016-03-29 09:50:57	"SHE: ""Please don't ever hijack a plane because of me.""HE: ""Don't worry. I'm scared of flying.""#EgyptAir"
714751692647088130	2016-03-29 09:50:57	How romantic hijacking a plane to go and see your ex.Hollywood script writers will be all over this story. #EgyptAir
714751689530671104	2016-03-29 09:50:56	EgyptAir hijacked, passengers freed https://t.co/F50hHM4bKO
714751685864865796	2016-03-29 09:50:56	EgyptAir hijacking: Airport security questioned https://t.co/Y7l9HxCvLU
714751684988239872	2016-03-29 09:50:55	This Egyptian man wants to contact his ex-wife so hard he's hijacked a plane and is currently holding five hostages https://t.co/gAk7rZISvG
714751682211610624	2016-03-29 09:50:55	Love makes the world go round. The #EgyptAir incident is a point in case.
714751675928543232	2016-03-29 09:50:53	#egyptair Seriously atime will come when kids will do when their parents dont fulfill their wishes...
714751675328765953	2016-03-29 09:50:53	Spokesperson for Egypt's Foreign Ministry denied issuing any statements or remarks to @guardian regarding hijacking of EgyptAir flight today
714751673856602112	2016-03-29 09:50:53	There are still seven people on board the plane, in addition to the hijacker. #EgyptAir #EgyptAirHijack  https://t.co/4e9ZAYIgfC
714751666298429441	2016-03-29 09:50:51	Trust someone to blame it on the #woman #EgyptAirHijack #EgyptAir #LoveInAction
714751665509949440	2016-03-29 09:50:51	Bet plane hijackers ex is one ugly bint too,not worth any of the effort. #EgyptAir
714751664515891201	2016-03-29 09:50:50	That hijacker should have taken a plane going to Cyprus not Alexandria-Cairo #stupid #EgyptAir
714751662368415744	2016-03-29 09:50:50	In fact, that doesn't make the situation better. Also in my opinion terrorism is also a form of blackmail #EgyptAir  https://t.co/wbGvqgzTBb
714751657540771844	2016-03-29 09:50:49	Hijacked plane for his wife... Uss logic se main, Poori air force hijack karunga 🙌🙌🙌🙌🙌 #EgyptAir
714751653203865600	2016-03-29 09:50:48	Hijackers hijacked flight due to poor security on Egypt airport...!!! #Larnaca #EgyptAir✈️🛩🛫🛬 #EgyptAirHijack
714751650603397121	2016-03-29 09:50:47	Love is patient. Love is kind. Love is hijacking an #EgyptAir plane to let his ex wife know his love is forever. https://t.co/qxzgRe3GDb
714751646140657665	2016-03-29 09:50:46	Passenger on hijacked #EgyptAir plane says the crew took everyone's passports.v @SkyHindHassan @BBCArabic https://t.co/gBGNCKKyox
714751645347889152	2016-03-29 09:50:46	Dumb guy hijack a plane cos of wife...I mean ex wife #EgyptAir
714751636762140675	2016-03-29 09:50:44	This is the hijacker @EGYPTAIR https://t.co/W5RB9RKkNX
714751635365429248	2016-03-29 09:50:43	No! Please don't say me this #EgyptAirHijack is outcome of 'love'.#EgyptAir
714751634216235009	2016-03-29 09:50:43	Ex wife to the Hijacker: Hey Honey! Wha'ts the 'plane'? #EgyptAir
714751633087930369	2016-03-29 09:50:43	Men chuckling, blaming the woman. I hope ur wife/GF/Mothers/Sisters/Daughters hit u with a iron skillet &amp; crack ur skull open #EgyptAir
714751632643383296	2016-03-29 09:50:43	I'd hijack a plane for you (yeah, yeah, yeah)Put on a bomb vest for you (yeah, yeah, yeah)#EgyptAir
714751630034526208	2016-03-29 09:50:42	Someone call @Bruce_Willis already to end this. @EGYPTAIR  #EgyptAir
714751629556334592	2016-03-29 09:50:42	EgyptAir Jetliner Hijacked, Lands in Cyprus https://t.co/0NbnbTxUTR
714751628813934593	2016-03-29 09:50:42	The things we do for love! #EgyptAir
714751626553266177	2016-03-29 09:50:41	Become an expert in FlowStation Mar.28-Apr.1st Call:08152043309 https://t.co/xJGW3RTNmW EgyptAir Plane Hijacked... https://t.co/a48um17WxF
714751625827631104	2016-03-29 09:50:41	"Bruno Mars was like ""baby, I can catch a grenade for ya.."".  Ibrahim Samaha was like ""baby, I can hijack a plane for ya.."" #Egyptair"
714751625152360448	2016-03-29 09:50:41	Egyptair airliner is hijacked after leaving Alexandria and lands at Larnaca airport in Cyprus... https://t.co/AFxLWfRFkL via @ziggytalks
714751624556707840	2016-03-29 09:50:41	EgyptAir Jetliner Hijacked, Some Passengers Held https://t.co/R4bRIbiijP
714751624502185985	2016-03-29 09:50:41	it's STILL terrorism if you hijack a plane,whoever you are #EgyptAir
714751624393179138	2016-03-29 09:50:41	He's setting the bar too high, how can we compete now? #EgyptAir
714751624346996736	2016-03-29 09:50:41	#EgyptAir aircraft hijacked by‘love sick’ professor demanding tosee Cypriot ex-wifehttps://t.co/OqIhN9Xjsbhttps://t.co/kWnmoTTlCL
714751623613050880	2016-03-29 09:50:41	#UPDATE: EgyptAir plane hijacked to Cyprus, most passengers freed https://t.co/5yj2ATA8JO https://t.co/FQ5cCzRih4
714751622946144257	2016-03-29 09:50:41	I feel bad for poor guy.. oh wait for his wife i supposed..  why isn't she coming forward  #EgyptAir
714751620089843712	2016-03-29 09:50:40	#egyptair the awkward moment when all channels are ringing around calling in so called terror experts then they realize #marriagecounsellor
714751619951366144	2016-03-29 09:50:40	"Whatever everyone else does can easily go in the ""idiot, not terrorist"" file. How convenient. #EgyptAir"
714751616151392257	2016-03-29 09:50:39	WHAT KINDA CRAZY LOVE STORY IS THIS #EgyptAir
714751610933612544	2016-03-29 09:50:38	#jobs #jobsearch # #EgyptAir hijacker at Cyprus airport 'wants to contact ex-wife' – live:             #All o... https://t.co/pfLVsP8Jxc
714751608459038722	2016-03-29 09:50:37	Still wondering what was happening with #EgyptAir , please it is not a bad news. Lets pray guys #FutureHeroT5el
714751608253493248	2016-03-29 09:50:37	Fuckwit with bomb-vest hijacks #EgyptAir airliner.It's not 'romance', douchebags.It's fucking TERRORISM.Get it right.
714751607834091520	2016-03-29 09:50:37	#EgyptAir Husband n wife drama... Funny
714751605749465088	2016-03-29 09:50:36	So, is this the story? Man gets on plane, says he's got a bomb (he hasn't) Everyone goes 'Eeek!' #EgyptAir
714751603316801536	2016-03-29 09:50:36	Most people will hijack a plane to get away from their ex's but this man... #EgyptAir
714751602255642625	2016-03-29 09:50:36	All terrorist will be wondering who did that...suddenly a lover appears :-P #EgyptAir
714751598124208128	2016-03-29 09:50:35	7 people still on hijacked Egypt plane in Cyprus #egyptair #abc13 https://t.co/6zWsbwgQUN
714751594882056192	2016-03-29 09:50:34	I'll catch a grenade for you I'll jump in front of a train for youI'll hijack a plane for youHe took @BrunoMars song too far#EgyptAir
714751594135494656	2016-03-29 09:50:34	Please, all ex husbands should apologize on this man's behalf #EgyptAir
714751593405620224	2016-03-29 09:50:33	'We didn't know what was going on' https://t.co/UMeSQq9qb3 via @BBCNews#EgyptAir #HijackedPlane Passenger says crew took their passports
714751590008229888	2016-03-29 09:50:33	Man with a bomb has hijacked a passenger plane just so he can see his estranged wife? That'll show her that your the man for her! #EgyptAir
714751588577972224	2016-03-29 09:50:32	New story on NPR: EgyptAir Flight Hijacked While On Route To Cairo https://t.co/quWWiWOrr0 https://t.co/NhGA6RvIx9
714751587709820928	2016-03-29 09:50:32	This woman left a man who loved her enough to hijack a plane for her, these hoes ain't loyal #EgyptAir
714751584492720128	2016-03-29 09:50:31	EgyptAir hijacking 'not terrorism-related': Cyprus president: Nicosia (AFP) - The hijacking… https://t.co/Q8oCvfsZEV
714751583511306240	2016-03-29 09:50:31	"""many authorities taking part in negotiations""Cunning. Break him by obliging him to deal with a committee#EgyptAir https://t.co/F3wIQy00pz"
714751580453617664	2016-03-29 09:50:30	Hijacked EgyptAir plane 'carried 21 foreigners including 8 Americans': Cairo (AFP) - A… https://t.co/ucRNzDrKzP
714751579375665152	2016-03-29 09:50:30	Lovesick at Larnaca: Was EgyptAir hijacking driven by broken heart? https://t.co/nqI0z55M3T https://t.co/aqWtjxi6f6
714751577513439232	2016-03-29 09:50:30	EgyptAir plane hijacker identifiedhttps://t.co/KW14JgkS74 https://t.co/l4qMjAuF2B
714751576502611969	2016-03-29 09:50:29	News Update: EgyptAir hijacker demands to see estranged Cypriot wife https://t.co/blH0RRe2W0
