id	created_at	text
698228336682803208	2016-02-12 19:33:02	A Small Clip Form @refugees showcased at Geneva Swizerland Yesterday during #TEDxNations &amp; the… https://t.co/rB4m4kHNdi
698221820756017152	2016-02-12 19:07:09	Love this photo of Maestro @LauraPerrenoud of @FragmentIn conducting the Computer Orchestra  at #TEDxNations https://t.co/9CoY5L0GER
698221802724712448	2016-02-12 19:07:04	Everytime u forget that ur an #indian plz listen 2 @devduttmyth a living #Legend#TED2016 #TEDxNations #modern #mythology #indialove #salute
698212792550211584	2016-02-12 18:31:16	Missed TEDxPlaceDesNations y'day?Chk back on YouTube in a few days 4 a full video recap.In the meantime,chk out #TEDxNations v @unfoundation
698211178980511745	2016-02-12 18:24:51	Loved TEDx Transforming Lives!!Had a viewing party at West Hartford Connecticut at Westfield Academy! #TedxNations https://t.co/2kpqYtPbWo
698205135672078336	2016-02-12 18:00:51	#TransformingLives - the official TEDxPlaceDesNations photo album is here: https://t.co/gWL7ZYrIh2 #TEDxNations https://t.co/630m6CwrfH
698183719425875968	2016-02-12 16:35:44	Checkout these photos from yesterday's amazing #TEDxNations at @UNGeneva  https://t.co/PymBpNR7Fz
698183578132357120	2016-02-12 16:35:11	#TransformingLives - the official TEDxPlaceDesNations photo album is here: https://t.co/YH9xLNrThv #TEDxNations https://t.co/AT0L4eDSow
698173416403132416	2016-02-12 15:54:48	Im SO excited to hear makena's #TEDxNations speech. March 15 th :)
698168550914179073	2016-02-12 15:35:28	What can you do to end #sexualviolence in conflict areas? Coline Rapneau answers at #TEDxNations: https://t.co/Sv1nHjX916 via @TEDx #VAW
698138328835760128	2016-02-12 13:35:23	Missed TEDxPlaceDesNations yesterday? Check back on YouTube in a few days for a full video recap. In the meantime, check out #TEDxNations
698132080602058752	2016-02-12 13:10:33	#TEDxNationsYou did a good job @RanyeeCleanCook  ... thanks for the inspiration
698125536464347137	2016-02-12 12:44:33	UNGeneva: Behind the Scenes at #TEDxNations - photo gallery: https://t.co/vMGDPK0J8G Were you watching? Share yo… https://t.co/pMFNquyUcB
698123991983267841	2016-02-12 12:38:24	Retweeted TEDxPlaceDesNations (@TEDxPdNations):Thank-you to the 11 #TEDxNations speakers for sharing powerful... https://t.co/9nYPtvITKa
698123378578759681	2016-02-12 12:35:58	Retweeted Alex Court (@CourtA):Actor, model &amp; refugee @gerduany tells #TEDxNations how he began a life away... https://t.co/7AXYEBzUTC
698123202707329024	2016-02-12 12:35:16	Retweeted MBogetic (@MMBogetic):Such a moving, powerful talk by @GerDuany at #TEDxNations! @UNGeneva... https://t.co/1Tn0CacyJu
698122996536500225	2016-02-12 12:34:27	Retweeted UNIC Lagos (@UNICLagos):Energy is the backbone of all the SDGS - FOSTER @TEDxPdNations #TEDxNations... https://t.co/NScHBSjWG3
698122702847090688	2016-02-12 12:33:17	Retweeted UNIC Lagos (@UNICLagos):Audience @TEDxPdNations #TEDxNations lagosViewingParty https://t.co/ue8Isu70Jv https://t.co/h3HVbSBbEW
698122326903226368	2016-02-12 12:31:47	Retweeted UNIC Lagos (@UNICLagos):Gar Duane,  very emotional speaker @TEDxPdNations #TEDxNations... https://t.co/sTdkGGmsZe
698120629719998464	2016-02-12 12:25:03	Retweeted UNIC Lagos (@UNICLagos):Speaker @TEDxPdNations #TEDxNations lagosViewingParty wt very emotional... https://t.co/PBZVqudFTA
698120573289918464	2016-02-12 12:24:49	Retweeted UNIC Lagos (@UNICLagos):I became a child soldier by accident' speaker, @TEDxPdNations #TEDxNations... https://t.co/o0nyNmMmaB
698109279618863104	2016-02-12 11:39:57	UNGeneva: Behind the Scenes at #TEDxNations - photo gallery: https://t.co/5PkuZYEts9 Were you watching? Share yo… https://t.co/oUzmEXUuAA
698105432670408704	2016-02-12 11:24:39	Behind the Scenes at #TEDxNations - photo gallery: https://t.co/COyqsPDFYv  Were you watching? Share your photos! https://t.co/lrsJta7ZWb
698103257655341056	2016-02-12 11:16:01	Behind the Scenes at #TEDxNations - photo gallery: https://t.co/6B6GIFrj5G Were you watching? Share your photos! https://t.co/ZNhjVP0TFE
698100953027837952	2016-02-12 11:06:51	@safakpavey thank you for your talk at #TEDxNations ! https://t.co/EGEtpVLyF0
698093732118335488	2016-02-12 10:38:10	#Computer Orchestra at #TEDxNations. Interesting sound 🎶 🎶 #Tech #Trends  #Innovation  https://t.co/n3onXXcjrQ
698082982951784448	2016-02-12 09:55:27	Great event - inspirational speakers @UNGeneva @Geneve_int. Looking most forward to #TEDxNations in #2017!  https://t.co/PxqDuYVDHD
698057113428484096	2016-02-12 08:12:39	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations https://t.co/yZmhSxJofr
698045353069830144	2016-02-12 07:25:55	How we found the giant squid https://t.co/sc3AI0Ik2z ee have only discovered 5% of the oceans. More focus? #ted #TEDxNations #Future #invest
698040410099343361	2016-02-12 07:06:17	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations https://t.co/1bHubwQvHH
698039870778961920	2016-02-12 07:04:08	"#VIDEO from today's #TEDxNations: ""I am the son of a terrorist"" https://t.co/D7w2Od327w"
698035140027682816	2016-02-12 06:45:20	A Small Clip Form refugees showcased at Geneva Swizerland Yesterday during #TEDxNations &amp; the… https://t.co/rB4m4kHNdi
698034330543726592	2016-02-12 06:42:07	A Small Clip Form @unrefugees showcased at Geneva Swizerland Yesterday during #TEDxNations &amp; the Soundtrack made... https://t.co/4TTXGV3BA5
698033952989306880	2016-02-12 06:40:37	A Small Clip Form @refugees showcased at Geneva Swizerland Yesterday during #TEDxNations &amp; the… https://t.co/rB4m4kHNdi
697927979888992257	2016-02-11 23:39:31	Students, staff and guests @DerbyUni link up with Geneva for  fascinating stories of inspiring people #TEDxNations https://t.co/wCHmeVbeaW
697926150350381056	2016-02-11 23:32:15	Prof Kevin Bampton - Director of the Int. Policing and Justice Institute @DerbyUniLHSS  viewing centre #TEDxNations https://t.co/YIklVDVyp7
697923247971700743	2016-02-11 23:20:43	Moving stories of amazing people doing great things transforming lives heard  @DerbyUni  viewing centre #TEDxNations https://t.co/gKjZZg0nj5
697920567664631808	2016-02-11 23:10:04	#TEDxNations. The opportunities and knowledge you gain from an international organizations #MBA from Unige. @UNIGEn… https://t.co/hNLftK6Z2O
697918682782113792	2016-02-11 23:02:35	A new perspective - #360video of TEDxPlaceDesNations, the Human Rights &amp; Alliance of Civilizations Room #TEDxNations https://t.co/xtrYlWqeSJ
697911403793948672	2016-02-11 22:33:39	"Have you seen my @TEDTalks ? ""By Bike: Redefining Success at 17,769' "" Watch it here: https://t.co/xuPdDhseWx  #TED2016 #TEDxNations"
697910523292184578	2016-02-11 22:30:09	Thank you @UNGeneva for this wonderful event and transformational experience! #TEDxNations https://t.co/pHdSb3F5qr
697905837365469185	2016-02-11 22:11:32	Great event @DerbyUniLHSS viewing centre -listening live to inspiring speakers of #TEDxNations https://t.co/GdkPHGj5s9
697903959202254848	2016-02-11 22:04:04	.@Twiplomacy on #Periscope: @UNGeneva social media team #TEDxNations. Rewatch it https://t.co/CbF0V9gSe1 https://t.co/swUzvxyQVj
697903425535807489	2016-02-11 22:01:57	Chief Constable - Derbyshire Constabulary - Mick Creedon - speaks at @DerbyUni viewing centre #TEDxNations https://t.co/ZVit2WvKyq
697902637027565570	2016-02-11 21:58:49	Chief Constable - Derbyshire Constabulary - Mick Creedon - speaks at @DerbyUni viewing centre #TEDxNations https://t.co/3X4VlvH6AG
697901620819001344	2016-02-11 21:54:47	Kathryn Baldacchino-Anti-Trafficking project Manager -British Red Cross speaks @DerbyUni viewing centre #TEDxNations https://t.co/RubBi6m37S
697899633721397252	2016-02-11 21:46:53	Rt. Revd. Dr. Alastair Redfern - Bishop of Derby delivers a keynote address @DerbyUni viewing centre #TEDxNations https://t.co/VvSpUxSdX2
