	cluster
798	7
799	2
800	2
801	2
802	7
803	2
804	1
805	2
806	2
807	7
808	2
809	2
810	7
811	7
812	2
813	1
814	7
815	0
816	7
817	2
818	7
819	2
820	1
821	2
822	2
823	7
824	2
825	7
826	7
827	2
828	2
829	7
830	7
831	2
832	7
833	2
834	7
835	2
836	2
837	7
838	7
839	7
840	7
841	7
842	2
843	2
844	7
845	7
846	1
847	2
848	1
849	2
850	7
851	2
852	2
853	2
854	1
855	2
856	7
857	2
858	2
859	2
860	7
861	1
862	0
863	7
864	2
865	7
866	1
867	5
868	5
869	7
870	7
871	2
872	7
873	7
874	1
875	1
876	7
877	7
878	7
879	0
880	1
881	3
882	2
883	7
884	7
885	3
886	7
887	7
888	7
889	7
890	1
891	0
892	0
893	7
894	1
895	7
896	7
897	1
898	7
899	7
900	7
901	7
902	7
903	7
904	7
905	3
906	7
907	7
908	7
909	0
910	7
911	7
912	7
913	7
914	7
915	1
916	7
917	7
918	7
919	7
920	7
921	7
922	7
923	1
924	2
925	7
926	0
927	7
928	7
929	0
930	7
931	7
932	7
933	0
934	1
935	7
936	7
937	7
938	6
939	6
940	7
941	7
942	7
943	7
944	7
945	7
946	7
947	7
948	7
949	7
950	7
951	0
952	7
953	7
954	7
955	1
956	7
957	7
958	7
959	7
960	7
961	7
962	7
963	7
964	7
965	7
966	7
967	7
968	7
969	7
970	7
971	0
972	7
973	7
974	7
975	7
976	7
977	7
978	7
979	7
980	7
981	1
982	7
983	0
984	7
985	2
986	0
987	1
988	7
989	7
990	7
991	7
992	7
993	7
994	7
995	7
996	7
997	0
998	0
999	7
1000	0
1001	0
1002	7
1003	7
1004	7
1005	7
1006	7
1007	0
1008	7
1009	7
1010	7
1011	7
1012	7
1013	7
1014	0
1015	1
1016	7
1017	0
1018	7
1019	0
1020	0
1021	1
1022	7
1023	7
1024	0
1025	7
1026	0
1027	7
1028	7
1029	7
1030	7
1031	7
1032	7
1033	0
1034	7
1035	1
1036	0
1037	0
1038	3
1039	0
1040	0
1041	7
1042	0
1043	0
1044	7
1045	7
1046	0
1047	7
1048	7
1049	7
1050	1
1051	1
1052	7
1053	1
1054	7
1055	7
1056	1
1057	7
1058	7
1059	7
1060	0
1061	7
1062	7
1063	7
1064	7
1065	7
1066	7
1067	7
1068	1
1069	7
1070	7
1071	7
1072	7
1073	1
1074	1
1075	7
1076	7
1077	0
1078	7
1079	7
1080	0
1081	5
1082	7
1083	7
1084	7
1085	7
1086	7
1087	7
1088	7
1089	7
1090	0
1091	7
1092	7
1093	7
1094	7
1095	7
1096	7
1097	7
1098	7
1099	7
1100	7
1101	7
1102	7
1103	7
1104	1
1105	7
1106	0
1107	7
1108	7
1109	7
1110	7
1111	7
1112	7
1113	7
1114	0
1115	0
1116	0
1117	7
1118	7
1119	7
1120	0
1121	7
1122	7
1123	7
1124	7
1125	7
1126	7
1127	7
1128	7
1129	7
1130	3
1131	0
1132	7
1133	7
1134	7
1135	1
1136	0
1137	0
1138	7
1139	7
1140	7
1141	0
1142	7
1143	7
1144	7
1145	0
1146	1
1147	1
1148	7
1149	3
1150	7
1151	3
1152	7
1153	7
1154	7
1155	0
1156	0
1157	3
1158	7
1159	7
1160	7
1161	3
1162	7
1163	7
1164	7
1165	7
1166	7
1167	7
1168	7
1169	7
1170	7
1171	7
1172	7
1173	7
1174	7
1175	7
1176	5
1177	7
1178	7
1179	7
1180	7
1181	7
1182	7
1183	7
1184	3
1185	1
1186	7
1187	7
1188	7
1189	7
1190	7
1191	7
1192	7
1193	7
1194	7
1195	7
1196	7
1197	7
1198	7
1199	7
1200	7
1201	7
1202	7
1203	7
1204	7
1205	7
1206	7
1207	7
1208	7
1209	0
1210	0
1211	7
1212	7
1213	7
1214	7
1215	7
1216	7
1217	7
1218	7
1219	7
1220	0
1221	7
1222	7
1223	7
1224	7
1225	7
1226	7
1227	7
1228	7
1229	7
1230	7
1231	7
1232	7
1233	7
1234	7
1235	7
1236	7
1237	0
1238	7
1239	1
1240	7
1241	3
1242	7
1243	7
1244	7
1245	7
1246	0
1247	0
1248	7
1249	7
1250	6
1251	7
1252	7
1253	7
1254	7
1255	7
1256	7
1257	0
1258	7
1259	0
1260	7
1261	3
1262	7
1263	0
1264	0
1265	3
1266	3
1267	0
1268	7
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	7
1278	0
1279	0
1280	0
1281	7
1282	0
1283	7
1284	0
1285	0
1286	7
1287	0
1288	3
1289	3
1290	0
1291	7
1292	3
1293	7
1294	3
1295	7
1296	0
1297	0
1298	0
1299	0
1300	0
1301	7
1302	7
1303	0
1304	0
1305	0
1306	0
1307	7
1308	0
1309	3
1310	7
1311	7
1312	3
1313	7
1314	0
1315	7
1316	7
1317	3
1318	0
1319	0
1320	5
1321	0
1322	3
1323	7
1324	7
1325	3
1326	7
1327	0
1328	0
1329	0
1330	0
1331	3
1332	0
1333	7
1334	5
1335	5
1336	0
1337	0
1338	0
1339	5
1340	0
1341	0
1342	0
1343	3
1344	3
1345	7
1346	7
1347	1
1348	3
1349	7
1350	7
1351	3
1352	7
1353	7
1354	7
1355	7
1356	7
1357	7
1358	7
1359	0
1360	7
1361	7
1362	7
1363	7
1364	7
1365	7
1366	7
1367	7
1368	7
1369	7
1370	7
1371	3
1372	3
1373	7
1374	7
1375	1
1376	3
1377	0
1378	3
1379	7
1380	7
1381	7
1382	3
1383	3
1384	7
1385	7
1386	3
1387	7
1388	7
1389	3
1390	7
1391	7
1392	7
1393	3
1394	3
1395	3
1396	5
1397	7
1398	7
1399	7
1400	7
1401	3
1402	3
1403	7
1404	7
1405	0
1406	7
1407	3
1408	7
1409	3
1410	7
1411	3
1412	3
1413	3
1414	7
1415	7
1416	7
1417	7
1418	3
1419	3
1420	7
1421	7
1422	7
1423	3
1424	7
1425	7
1426	7
1427	7
1428	3
1429	0
1430	7
1431	3
1432	3
1433	7
1434	7
1435	7
1436	3
1437	7
1438	7
1439	7
1440	7
1441	7
1442	7
1443	7
1444	3
1445	3
1446	3
1447	3
1448	3
1449	7
1450	7
1451	5
1452	5
1453	2
1454	7
1455	2
1456	7
1457	7
1458	7
1459	3
1460	7
1461	7
1462	3
1463	3
1464	7
1465	7
1466	3
1467	7
1468	7
1469	7
1470	7
1471	7
1472	3
1473	3
1474	3
1475	3
1476	7
1477	7
1478	2
1479	7
1480	7
1481	0
1482	7
1483	7
1484	5
1485	3
1486	7
1487	3
1488	7
1489	5
1490	7
1491	7
1492	7
1493	7
1494	7
1495	6
1496	3
1497	5
1498	7
1499	7
1500	3
1501	3
1502	3
1503	7
1504	3
1505	6
1506	3
1507	7
1508	7
1509	7
1510	3
1511	7
1512	3
1513	7
1514	5
1515	7
1516	3
1517	5
1518	2
1519	3
1520	5
1521	7
1522	5
1523	2
1524	3
1525	7
1526	6
1527	7
1528	7
1529	7
1530	7
1531	7
1532	7
1533	7
1534	7
1535	7
1536	7
1537	7
1538	3
1539	7
1540	7
1541	5
1542	7
1543	7
1544	7
1545	7
1546	7
1547	7
1548	7
1549	6
1550	7
1551	7
1552	7
1553	7
1554	7
1555	7
1556	3
1557	7
1558	7
1559	3
1560	7
1561	6
1562	6
1563	7
1564	7
1565	6
1566	6
1567	7
1568	6
1569	7
1570	7
1571	7
1572	7
1573	7
1574	7
1575	7
1576	5
1577	1
1578	7
1579	1
1580	1
1581	5
1582	6
1583	5
1584	5
1585	5
1586	5
1587	5
1588	3
1589	5
1590	5
1591	3
1592	5
1593	3
1594	3
1595	3
1596	3
1597	7
1598	7
1599	7
1600	7
1601	7
1602	7
1603	7
1604	4
1605	7
1606	5
1607	5
1608	7
1609	7
1610	7
1611	6
1612	7
1613	5
1614	5
1615	5
1616	3
1617	5
1618	7
1619	7
1620	7
1621	7
1622	7
1623	7
1624	7
1625	7
1626	5
1627	7
1628	7
1629	5
1630	7
1631	7
1632	7
1633	7
1634	7
1635	6
1636	6
1637	5
1638	6
1639	7
1640	5
1641	7
1642	3
1643	5
1644	7
1645	5
1646	7
1647	5
1648	1
1649	1
1650	7
1651	6
1652	1
1653	5
1654	1
1655	7
1656	1
1657	1
1658	7
1659	1
1660	1
1661	7
1662	1
1663	1
1664	1
1665	1
1666	7
1667	7
1668	7
1669	6
1670	7
1671	7
1672	5
1673	7
1674	7
1675	7
1676	7
1677	7
1678	6
1679	0
1680	5
1681	7
1682	6
1683	7
1684	5
1685	5
1686	5
1687	5
1688	5
1689	7
1690	7
1691	7
1692	7
1693	7
1694	7
1695	6
1696	7
1697	7
1698	7
1699	4
1700	7
1701	7
1702	7
1703	6
1704	7
1705	6
1706	6
1707	6
1708	6
1709	6
1710	6
1711	6
1712	7
1713	5
1714	6
1715	7
1716	7
1717	7
1718	7
1719	7
1720	7
1721	7
1722	7
1723	7
1724	7
1725	7
1726	7
1727	7
1728	7
1729	7
1730	7
1731	7
1732	7
1733	7
1734	2
1735	5
1736	7
1737	7
1738	5
1739	5
1740	5
1741	5
1742	5
1743	5
1744	7
1745	6
1746	7
1747	7
1748	7
1749	7
1750	7
1751	7
1752	7
1753	7
1754	5
1755	5
1756	5
1757	7
1758	7
1759	0
1760	0
1761	0
1762	3
1763	7
1764	6
1765	7
1766	4
1767	7
1768	7
1769	0
1770	3
1771	3
1772	3
1773	7
1774	7
1775	6
1776	7
1777	7
