id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems	count_links	count_hashtags	count_mentions	count_words	count_characters	count_non_characters	count_upper	bool_question	bool_elongation	bool_ellipsis	t_distinct	t_sum	tfidf_sum	tfidf_mean	pos_cnt	nes_cnt	pos_data	nes_data	pos_cnt_NN	pos_cnt_RP	pos_cnt_POS	pos_cnt_VB	pos_cnt_(	pos_cnt_``	pos_cnt_''	pos_cnt_WP	pos_cnt_VBD	pos_cnt_NNPS	pos_cnt_NNP	pos_cnt_.	pos_cnt_JJR	pos_cnt_CC	pos_cnt_EX	pos_cnt_PDT	pos_cnt_DT	pos_cnt_WRB	pos_cnt_PRP$	pos_cnt_)	pos_cnt_SYM	pos_cnt_RBR	pos_cnt_VBP	pos_cnt_FW	pos_cnt_CD	pos_cnt_JJ	pos_cnt_$	pos_cnt_WDT	pos_cnt_JJS	pos_cnt_VBN	pos_cnt_RBS	pos_cnt_IN	pos_cnt_,	pos_cnt_UH	pos_cnt_PRP	pos_cnt_VBG	pos_cnt_TO	pos_cnt_VBZ	pos_cnt_MD	pos_cnt_NNS	pos_cnt_RB	pos_cnt_:	ne_cnt_PERSON	ne_cnt_GSP	ne_cnt_ORGANIZATION	ne_cnt_GPE	ne_cnt_LOCATION
699453519233945600	2016-02-16 04:41:28	Watch #TEDxNations live now: https://t.co/7cVGVAIV7M(from 15:00 CET, 11 February) https://t.co/2VMyuaLBb5	Watch #TEDxNations live now:  15:00 CET, 11 February) 	Watch TEDxNations live now:  15:00 CET, 11 February) 	watch tedxnations live 15:00 cet 11 february	watch tedxnat live 15:00 cet 11 februari	2	1	0	9	105	0	5	0	0	0	8.0	8.0	2.6383260473397927	0.3297907559174741	11	2	{')': 1, ',': 1, 'NNP': 3, 'VBP': 1, 'CD': 2, 'JJ': 1, 'RB': 1, ':': 1}	{'PERSON': 1, 'ORGANIZATION': 1}	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	3.0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.0	0	0
699220970435977216	2016-02-15 13:17:24	.@DerbyUni hosted a very successful #TEDxNations viewing party. It was great having you on board! https://t.co/Z69Q08eIiK	.@DerbyUni hosted a very successful #TEDxNations viewing party. It was great having you on board! 	.DerbyUni hosted a very successful TEDxNations viewing party. It was great having you on board! 	derbyuni hosted successful tedxnations viewing party it great board	derbyuni host success tedxnat view parti it great board	1	1	0	15	121	0	3	0	0	0	8.0	8.0	2.6490743027922266	0.3311342878490283	17	0	{'NN': 2, 'IN': 1, 'VBD': 2, 'PRP': 2, 'VBG': 2, 'RB': 2, '.': 2, 'JJ': 2, 'NNP': 1, 'DT': 1}	{}	2.0	0	0	2.0	0	0	0	2.0	0	0	0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	2.0	2.0	0	0	0	1.0	2.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
699217237744472064	2016-02-15 13:02:34	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations https://t.co/s2eJxo40zL	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations 	The Computer Orchestra conducted by LauraPerrenoud of FragmentIn was one of the highlights at TEDxNations 	the computer orchestra conducted lauraperrenoud fragmentin one highlights tedxnations	the comput orchestra conduct lauraperrenoud fragmentin one highlight tedxnat	1	1	2	13	132	0	3	0	0	0	9.0	9.0	2.84982866795157	0.3166476297723967	14	1	{'VBN': 1, 'IN': 3, 'NNS': 2, 'VBD': 1, 'CD': 1, 'DT': 2, 'NNP': 4}	{'ORGANIZATION': 1}	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	3.0	0	0	0	0	0	1.0	0	0	0	4.0	0	0	0	0	2.0	0	0	2.0	0	0	0	0	0	1.0	0	0
699194763304660993	2016-02-15 11:33:16	1,000+ ppl in the audience, 21 viewing parties, 3,000+ ppl watching live webcast - thank you all! #TEDxNations https://t.co/3BUhtl8oqh	1,000+ ppl in the audience, 21 viewing parties, 3,000+ ppl watching live webcast - thank you all! #TEDxNations 	1,000+ ppl in the audience, 21 viewing parties, 3,000+ ppl watching live webcast - thank you all! TEDxNations 	1,000+ ppl audience 21 viewing parties 3,000+ ppl watching live webcast thank tedxnations	1,000+ ppl audienc 21 view parti 3,000+ ppl watch live webcast thank tedxnat	1	1	0	18	134	0	0	0	0	0	11.0	13.0	2.9042632730687	0.26402393391533635	19	0	{'NN': 5, 'IN': 1, ',': 1, 'NNS': 2, 'PRP': 1, 'VBG': 1, '.': 1, 'CD': 3, 'JJ': 1, 'DT': 2, ':': 1}	{}	5.0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.0	0	0	2.0	0	1.0	1.0	0	0	0	0	0
699133646347837440	2016-02-15 07:30:25	AnnKaZo: RT UN_ECE: Want to learn more abt #SustainableEnergy? Attend TED Talks on 11Feb in Geneva! #TEDxNations … https://t.co/6VDzXeGUsQ	AnnKaZo: RT UN_ECE: Want to learn more abt #SustainableEnergy? Attend TED Talks on 11Feb in Geneva! #TEDxNations … 	AnnKaZo: RT UN_ECE: Want to learn more abt SustainableEnergy? Attend TED Talks on 11Feb in Geneva! TEDxNations … 	annkazo un_ece want learn abt sustainableenergy attend ted talks 11feb geneva tedxnations	annkazo un_ec want learn abt sustainableenergi attend ted talk 11feb geneva tedxnat	1	2	0	16	138	1	18	1	0	1	10.0	10.0	3.016230050674369	0.3016230050674369	21	2	{'NN': 1, 'IN': 2, 'VB': 1, 'CD': 1, 'NNP': 5, '.': 2, 'TO': 1, 'VBP': 2, 'NNS': 2, 'JJ': 2, 'JJR': 1, ':': 1}	{'ORGANIZATION': 1, 'GPE': 1}	1.0	0	1.0	0	0	0	0	0	0	0	2.0	0	0	1.0	2.0	1.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	5.0	2.0	1.0	0	0	2.0	0	0	0	0	1.0	0	0	0	1.0	1.0	0
699126028942245888	2016-02-15 07:00:09	#TransformingLives - the official TEDxPlaceDesNations photo album is here: https://t.co/YH9xLNahSV  #TEDxNations https://t.co/AT0L4eDSow	#TransformingLives - the official TEDxPlaceDesNations photo album is here:  #TEDxNations 	TransformingLives - the official TEDxPlaceDesNations photo album is here:  TEDxNations 	transforminglives official tedxplacedesnations photo album tedxnations	transformingl offici tedxplacedesn photo album tedxnat	2	2	0	10	136	0	6	0	0	0	6.0	6.0	2.2885386192633104	0.38142310321055173	11	1	{'NN': 2, 'RB': 1, 'VBZ': 1, 'NNS': 2, 'JJ': 1, 'NNP': 1, 'DT': 1, ':': 2}	{'ORGANIZATION': 1}	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	0	2.0	0	0	1.0	0	2.0	0	0	0	1.0	0	0
698899797227540480	2016-02-14 16:01:11	#TransformingLives - the official TEDxPlaceDesNations photo album is here: https://t.co/W5SCHOMhV2 #TEDxNations https://t.co/tov2bQyb0C	#TransformingLives - the official TEDxPlaceDesNations photo album is here:  #TEDxNations 	TransformingLives - the official TEDxPlaceDesNations photo album is here:  TEDxNations 	transforminglives official tedxplacedesnations photo album tedxnations	transformingl offici tedxplacedesn photo album tedxnat	2	2	0	10	135	0	6	0	0	0	6.0	6.0	2.2885386192633104	0.38142310321055173	11	1	{'NN': 2, 'RB': 1, 'VBZ': 1, 'NNS': 2, 'JJ': 1, 'NNP': 1, 'DT': 1, ':': 2}	{'ORGANIZATION': 1}	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	0	2.0	0	0	1.0	0	2.0	0	0	0	1.0	0	0
698855358811480066	2016-02-14 13:04:36	https://t.co/fFtFvHwEim  ITS SO #VALENTINES @The_IPO @KokoTeddy @UNGeneva @UN #TEDxNations #romance #WeLoveFarmers	 ITS SO #VALENTINES @The_IPO @KokoTeddy @UNGeneva @UN #TEDxNations #romance #WeLoveFarmers	 ITS SO VALENTINES The_IPO KokoTeddy UNGeneva UN TEDxNations romance WeLoveFarmers	its so valentines the_ipo kokoteddy ungeneva un tedxnations romance welovefarmers	its so valentin the_ipo kokoteddi ungeneva un tedxnat romanc welovefarm	1	4	4	3	114	0	5	0	0	0	4.0	4.0	1.7796045403665812	0.4449011350916453	10	1	{'NN': 1, 'NNP': 8, 'NNS': 1}	{'ORGANIZATION': 1}	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0
698790389877178368	2016-02-14 08:46:26	UNGeneva: #TEDxNations - official photo gallery: https://t.co/xtJ3DwC2zB Were you watching? Share your photos! https://t.co/qISmqK866a	UNGeneva: #TEDxNations - official photo gallery:  Were you watching? Share your photos! 	UNGeneva: TEDxNations - official photo gallery:  Were you watching? Share your photos! 	ungeneva tedxnations official photo gallery were watching share photos	ungeneva tedxnat offici photo galleri were watch share photo	2	1	0	13	134	0	5	1	0	0	9.0	9.0	2.8317119898770535	0.31463466554189484	15	2	{'NN': 3, 'PRP': 1, 'VBG': 1, 'NNP': 3, '.': 2, 'JJ': 2, 'PRP$': 1, ':': 2}	{'ORGANIZATION': 1, 'GPE': 1}	3.0	0	0	1.0	0	0	0	1.0	0	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	2.0	0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	1.0	0
698789594628755456	2016-02-14 08:43:16	A dress that could shelter a family of #refugees.  #dress4ourtime by @ProfHelenStorey at #TEDxNations, #UN Geneva https://t.co/LNyxfZvYLf	A dress that could shelter a family of #refugees. #dress4ourtime by @ProfHelenStorey at #TEDxNations, #UN Geneva 	A dress that could shelter a family of refugees. dress4ourtime by ProfHelenStorey at TEDxNations, UN Geneva 	dress could shelter family refugees dress 4ourtime profhelenstorey tedxnations un geneva	dress could shelter famili refuge dress 4ourtim profhelenstorey tedxnat un geneva	1	4	1	12	137	0	2	0	0	0	10.0	11.0	2.9267808339006036	0.29267808339006035	18	1	{'NN': 3, 'IN': 3, ',': 1, 'VB': 1, 'NNP': 4, '.': 1, 'MD': 1, 'NNS': 1, 'WDT': 1, 'DT': 2}	{'ORGANIZATION': 1}	3.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	0	1.0	0	0	0	0	0	4.0	1.0	0	0	0	1.0	0	0	2.0	0	0	1.0	0	0	1.0	0	0
